,mass A,,
t,x,y,
5.046708E-1,3.377380E1,3.717273E1
5.088417E-1,2.941498E1,2.583189E1
5.130125E-1,2.293706E1,1.364463E1
5.171833E-1,1.554331E1,1.846726E0
5.213542E-1,7.456840E0,-7.720328E0
5.255250E-1,6.140483E-1,-1.505822E1
5.296958E-1,-5.977891E0,-2.076921E1
5.338667E-1,-1.110542E1,-2.504156E1
5.380375E-1,-1.614709E1,-2.805976E1
5.422083E-1,-2.010776E1,-2.986798E1
5.463792E-1,-2.329814E1,-2.991233E1
5.505500E-1,-2.480172E1,-2.858628E1
5.547208E-1,-2.550565E1,-2.587289E1
5.588917E-1,-2.490749E1,-2.181697E1
5.630625E-1,-2.285326E1,-1.647943E1
5.672333E-1,-1.917382E1,-1.048446E1
5.714042E-1,-1.419757E1,-3.402287E0
5.755750E-1,-7.316175E0,4.931433E0
5.797458E-1,5.269449E-1,1.348516E1
5.839167E-1,1.002629E1,2.053922E1
5.880875E-1,1.896417E1,2.551228E1
5.922583E-1,2.809058E1,2.970233E1
5.964292E-1,3.533115E1,3.256161E1
6.006000E-1,4.052393E1,3.417280E1
6.047708E-1,4.424139E1,3.501209E1
6.089417E-1,4.649093E1,3.479894E1
6.131125E-1,4.617012E1,3.400658E1
6.172833E-1,4.439381E1,3.232931E1
6.214542E-1,4.014551E1,3.020353E1
6.256250E-1,3.408506E1,2.745567E1
6.297958E-1,2.650136E1,2.437439E1
6.339667E-1,1.625210E1,2.086690E1
6.381375E-1,5.944213E0,1.574409E1
6.423083E-1,-3.527491E0,1.060543E1
6.464792E-1,-1.114931E1,5.353575E0
6.506500E-1,-1.646620E1,1.469077E0
6.548208E-1,-2.031235E1,-2.089728E0
6.589917E-1,-2.279270E1,-4.878611E0
6.631625E-1,-2.372895E1,-6.774623E0
6.673333E-1,-2.233571E1,-8.752979E0
6.715042E-1,-1.997826E1,-9.666450E0
6.756750E-1,-1.573969E1,-9.663328E0
6.798458E-1,-9.367768E0,-9.295665E0
6.840167E-1,-2.046789E0,-7.623578E0
6.881875E-1,6.007455E0,-4.733911E0
6.923583E-1,1.513918E1,-1.214628E-1
6.965292E-1,2.230287E1,5.608964E0
7.007000E-1,2.824181E1,1.126841E1
7.048708E-1,3.279666E1,1.563763E1
7.090417E-1,3.582455E1,1.914133E1
7.132125E-1,3.704361E1,2.141333E1
7.173833E-1,3.616713E1,2.226825E1
7.215542E-1,3.436423E1,2.204887E1
7.257250E-1,3.049891E1,2.073077E1
7.298958E-1,2.490923E1,1.810693E1
7.340667E-1,1.843089E1,1.440189E1
7.382375E-1,1.110830E1,9.304627E0
7.424083E-1,5.251924E0,4.125731E0
7.465792E-1,1.907215E0,-4.794899E-1
